,start,end,freq_low,freq_high,fname
0,460800,464640,2361.71875,2461.71875,1.wav
1,468544,472576,2275.5859375,2375.5859375,1.wav
2,475776,480000,2275.5859375,2375.5859375,1.wav
3,483136,487424,2275.5859375,2375.5859375,1.wav
4,490304,494720,2361.71875,2461.71875,1.wav
5,497536,502080,2275.5859375,2375.5859375,1.wav
6,504896,509248,2361.71875,2461.71875,1.wav
7,512256,516288,2361.71875,2461.71875,1.wav
8,519232,523520,2361.71875,2461.71875,1.wav
9,526144,530496,2361.71875,2461.71875,1.wav
10,533440,537664,2275.5859375,2375.5859375,1.wav
11,540544,545152,2361.71875,2461.71875,1.wav
12,548096,552448,2361.71875,2461.71875,1.wav
13,555008,559936,2361.71875,2461.71875,1.wav
14,778368,801664,1586.5234375,1686.5234375,1.wav
15,812480,832192,1586.5234375,1686.5234375,1.wav
16,840704,856832,1586.5234375,1686.5234375,1.wav
17,865600,883456,1586.5234375,1686.5234375,1.wav
18,892480,909632,1586.5234375,1686.5234375,1.wav
19,916480,931328,1672.65625,1772.65625,1.wav
20,939520,955712,1586.5234375,1686.5234375,1.wav
